kode,nama_perusahaan,tanggal_pencatatan,jumlah_saham,papan_pencatatan,sektor,ticker_yf
AALI,Astra Agro Lestari Tbk.,1997-12-09,1924688333.0,Utama,Consumer Non-Cyclicals,AALI.JK
ABBA,Mahaka Media Tbk.,2002-04-03,3935892857.0,Pemantauan Khusus,Consumer Cyclicals,ABBA.JK
ABDA,Asuransi Bina Dana Arta Tbk.,1989-07-06,620806680.0,Pemantauan Khusus,Financials,ABDA.JK
ABMM,ABM Investama Tbk.,2011-12-06,2753165000.0,Utama,Energy,ABMM.JK
ACES,Aspirasi Hidup Indonesia Tbk.,2007-11-06,17120389700.0,Utama,Consumer Cyclicals,ACES.JK
ACRO,Samcro Hyosung Adilestari Tbk.,2024-01-11,3469157288.0,Pengembangan,Consumer Cyclicals,ACRO.JK
ACST,Acset Indonusa Tbk.,2013-06-24,12675160000.0,Pengembangan,Infrastructure,ACST.JK
ADCP,Adhi Commuter Properti Tbk.,2021-05-21,22222222200.0,Pengembangan,Properties & Real Estate,ADCP.JK
ADES,Akasha Wira International Tbk.,1994-06-13,589896800.0,Pengembangan,Consumer Non-Cyclicals,ADES.JK
ADHI,Adhi Karya (Persero) Tbk.,2004-03-18,8407608979.0,Utama,Infrastructure,ADHI.JK
ADMF,Adira Dinamika Multi Finance T,2004-03-31,1000000000.0,Pengembangan,Financials,ADMF.JK
ADMG,Polychem Indonesia Tbk,1993-10-20,3889179559.0,Pengembangan,Basic Materials,ADMG.JK
ADMR,Alamtri Minerals Indonesia Tbk,2022-01-03,40882331500.0,Utama,Energy,ADMR.JK
ADRO,Alamtri Resources Indonesia Tb,2008-07-16,30758665900.0,Utama,Energy,ADRO.JK
AEGS,Anugerah Spareparts Sejahtera,2023-09-11,1006080721.0,Akselerasi,Consumer Cyclicals,AEGS.JK
AGAR,Asia Sejahtera Mina Tbk.,2019-12-02,1000000000.0,Pengembangan,Consumer Non-Cyclicals,AGAR.JK
AGII,Samator Indo Gas Tbk.,2016-09-28,3066660000.0,Pengembangan,Basic Materials,AGII.JK
AGRO,Bank Raya Indonesia Tbk.,2003-08-08,24493093216.0,Utama,Financials,AGRO.JK
AGRS,Bank IBK Indonesia Tbk.,2014-12-22,47367057874.0,Pengembangan,Financials,AGRS.JK
AHAP,Asuransi Harta Aman Pratama Tbk.,1990-09-14,4900000000.0,Pengembangan,Financials,AHAP.JK
AIMS,Artha Mahiya Investama Tbk.,2001-07-20,220000000.0,Pengembangan,Energy,AIMS.JK
AISA,FKS Food Sejahtera Tbk.,1997-06-11,9311800000.0,Utama,Consumer Non-Cyclicals,AISA.JK
AKKU,Anugerah Kagum Karya Utama Tbk,2004-11-01,6449463636.0,Pemantauan Khusus,Consumer Cyclicals,AKKU.JK
AKPI,Argha Karya Prima Industry Tbk,1992-12-18,612248000.0,Pengembangan,Basic Materials,AKPI.JK
AKRA,AKR Corporindo Tbk.,1994-10-03,20073474600.0,Utama,Energy,AKRA.JK
AKSI,Mineral Sumberdaya Mandiri Tbk,2001-07-13,720000000.0,Pengembangan,Transportation & Logistics,AKSI.JK
ALDO,Alkindo Naratama Tbk.,2011-07-12,2700713744.0,Pengembangan,Basic Materials,ALDO.JK
ALII,Ancara Logistics Indonesia Tbk,2024-02-07,15825800000.0,Utama,Energy,ALII.JK
ALKA,Alakasa Industrindo Tbk,1990-07-12,507665055.0,Pengembangan,Basic Materials,ALKA.JK
ALMI,Alumindo Light Metal Industry,1997-01-02,3816000000.0,Pemantauan Khusus,Basic Materials,ALMI.JK
ALTO,Tri Banyan Tirta Tbk.,2012-07-10,2191870558.0,Pemantauan Khusus,Consumer Non-Cyclicals,ALTO.JK
