kode,advt_median,advt_mean,rasio_mean_median,market_cap,harga_median,volume_median,turnover_bps,amihud_per_miliar,volatilitas_tahunan,rentang_harian_relatif,max_drawdown,beta_ihsg,pct_hari_volume_nol,pct_hari_harga_stagnan,umur_listing_tahun,jumlah_hari_bursa,sektor_Basic Materials,sektor_Consumer Cyclicals,sektor_Consumer Non-Cyclicals,sektor_Energy,sektor_Financials,sektor_Healthcare,sektor_Industrials,sektor_Infrastructure,sektor_Properties & Real Estate,sektor_Technology,sektor_Tidak Diketahui,sektor_Transportation & Logistics,kelas_likuiditas,kelas_kode
TRIN,-0.05295348523883837,-0.1752596664837994,0.05151215585584542,-0.34603098406975813,-0.4982585992232215,0.08363886604323081,-0.5087695441621944,-0.32752201194991365,0.13385539900567897,0.7524439628895848,-0.5827845056054165,-0.17658568175646783,-0.3417570771486425,-0.621039986768062,-0.7768204887100592,0.0,0,0,0,0,0,0,0,0,1,0,0,0,Menengah,1
PTDU,-0.6796314914291791,-1.1254036276233619,-0.24033256143729073,-1.7724746892237935,-1.6002089535541344,-0.2736044254590899,-0.6387574830785689,1.7477431152054184,0.6998840780561796,-1.140981376409276,-1.859419064041657,-0.8624810330481507,0.20922676094273265,1.05690665925334,-0.8530780304594563,0.0,0,0,0,0,0,0,0,1,0,0,0,0,Tidak Likuid,0
OMED,0.29975360722969663,0.14762712535983216,-0.5719526975643239,0.73320836329998,-0.21560506804111268,0.3998536038938929,-0.7018001264723199,-0.6086385782438615,-1.337518843120941,-0.8539991205525099,1.0510179194501676,-0.5382416638253633,-0.3417570771486425,-0.2698418515542803,-1.015822784192926,0.0,0,0,0,0,0,1,0,0,0,0,0,0,Menengah,1
LINK,-0.15793639822832659,-0.2535060717411556,0.3297668820089198,0.7101053945102462,1.1126901789277492,-0.7266403593030458,-1.0680113595656109,0.16377431289903385,0.798210052376797,0.21020030347161486,-0.541215146034048,-1.6208123860926207,-0.2535996630540225,-0.46495192667304797,-0.29951337526032584,0.0,0,0,0,0,0,0,0,1,0,0,0,0,Tidak Likuid,0
TARA,-0.48487946178678476,-0.8216668211487786,-0.11938488850245867,-1.1144432604180743,-1.8985252652625624,0.09508745869604728,-0.774364170002287,2.1644242863335323,1.5582005738546005,0.8538807807472466,-0.20733371966467046,-1.0392716884261097,-0.3417570771486425,1.3105497569077378,-0.3085805829683334,0.0,0,0,0,0,0,0,0,0,1,0,0,0,Tidak Likuid,0
HUMI,0.6299797762473964,0.721584427614531,-0.16634883892619384,-0.018145548624507547,-0.9126978993758402,1.1124077511185166,1.2565313717243582,-0.6461649102980022,0.0456379597476142,-0.4026891856191192,0.08896419535946283,-1.0586320618553289,-0.3417570771486425,1.1544616968127235,-1.0795257306543127,0.0,0,0,0,1,0,0,0,0,0,0,0,0,Likuid,2
MITI,-0.011280166457424575,-0.01353849129111484,0.4788626775061471,-0.2928484639664502,-0.2805687607866584,0.02626092245434481,-0.5000432633057889,-0.3906804192157315,0.44835672587498626,0.5872317022357109,0.6862139193609883,-0.49789754728990737,-0.3417570771486425,-0.6600620017918156,1.1338029201208746,0.0,0,0,0,0,0,0,0,0,0,0,0,1,Menengah,1
ALKA,-0.48752391810995344,-0.6432606365843885,0.6285827526313272,-0.8778654824800087,0.15435368427638368,-0.7695766251833366,-0.8924423803947319,0.8067914818440334,0.3534713472804385,0.767746750605434,-0.1608556153471595,0.03027366781823516,-0.3417570771486425,-0.6600620017918156,1.7292162262800403,0.0,1,0,0,0,0,0,0,0,0,0,0,0,Tidak Likuid,0
SOUL,0.0420733002997494,-0.14747813355144213,-0.34702679372710127,-1.5692640253616923,-1.1637400503587922,0.4848007058305332,1.4784614651824453,0.01630884461161605,1.1821463615875538,1.8114000714681728,-1.4404119114822762,0.664627043657458,-0.3417570771486425,-0.09424278394738936,-1.029539842007604,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Tidak Likuid,0
GTSI,-0.1302223202520871,-0.48359565076680244,-0.6750351301080856,-0.24596570314098332,-1.1165150554400405,0.24181793907178886,-0.7333514873305818,-0.14295912225685606,-0.04292640756926706,-1.0127896724462013,0.8404444146235693,-0.32790254426153154,-0.3417570771486425,0.3740213963376531,-0.9167809769208429,0.0,0,0,0,1,0,0,0,0,0,0,0,0,Likuid,2
SAFE,0.026205782371655374,-0.23397838977777988,-0.571696701146149,-0.9311191281866738,-0.028642852823153854,-0.0463174172993493,0.3232830266857735,-0.30723769484685876,1.7391912333106296,1.9870578957047709,-1.5508774335206588,-0.20101808744743344,-0.29767837010133247,-0.9137050994462137,1.3816399308064158,0.0,0,0,0,0,0,0,0,0,0,0,0,1,Tidak Likuid,0
PSSI,0.10789253582262484,-0.13684871835555645,-0.6277415987160045,0.35949525189786036,0.28429708323536496,-0.04458181112851209,-0.7576898520375953,-0.5699411695187582,-1.2269145518860423,-0.9185533771907215,0.6372856243121695,-0.19571887660827325,-0.3417570771486425,-0.4454409191611713,-0.5975687670979088,0.0,0,0,0,1,0,0,0,0,0,0,0,0,Tidak Likuid,0
MPOW,0.35600485388264447,0.37949377691719954,-0.011195522924325638,-1.2493767503603195,-0.5989552590326038,0.6209493622192329,2.1299087058759847,-0.5955153007918934,1.6141015672759587,2.0841730837668693,0.4756580844587555,0.11770150591196965,-0.29767837010133247,-0.4844629341849247,-0.5619974137818791,0.0,0,0,0,0,0,0,0,1,0,0,0,0,Menengah,1
FISH,-3.5172664825753994,-0.7209617119123412,-0.2611785808537514,0.7534626965668352,2.248992201429948,-3.185741378482777,-1.122153201878401,0.18260221857663972,-1.0419666593470265,-1.8266545320560401,0.991249936591146,-1.3516905558378134,3.2286181936834684,2.2080561024540692,0.750887763836554,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Tidak Likuid,0
RUNS,-0.40989188489613115,-0.8125082077334252,-0.4691611978464702,-1.4035111848851551,-0.9019764279576797,-0.21330948233561142,-0.352643435442207,1.2265672443043314,0.5024577065459016,1.2520927427716904,-0.4766954605957011,0.03949617292160839,-0.3417570771486425,-0.4064189041374177,-0.9167809769208429,0.0,0,0,0,0,0,0,0,0,0,1,0,0,Tidak Likuid,0
UCID,0.2728540887631783,0.16358744373247036,-0.386372713716378,0.5139484117549158,0.6393468723784052,-0.011631520937430714,-0.6258956233567473,-0.6007031426586396,-1.0672146892060006,-0.7458506710137974,-0.7259030156033482,-0.025013902533591318,-0.3417570771486425,-0.1917978215067732,-0.7707756835713873,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Tidak Likuid,0
NAIK,0.8238430756461532,0.923533502488474,-0.4178556786052987,-0.13360781568043018,-0.028642852823153854,0.9823579164939099,2.1883492751788913,-0.6443023657780875,2.251361310211427,2.4735208486308733,-2.1900428373705267,1.3806201191290914,-0.30984733830457756,-1.053753435574409,-1.1573897956155645,0.0,0,0,0,0,0,0,1,0,0,0,0,0,Menengah,1
SQMI,-0.007297248539946405,-0.3113281162678101,-0.672611689468492,-0.30641656118465993,-1.1803369055827928,0.4409622142519626,-0.41404907947515196,-0.10527907405475086,0.5680185918885413,-0.8694122259826464,-1.266104936017574,-0.24371137344011093,0.18718740741907772,0.5105984489207904,0.5395520764883769,0.0,1,0,0,0,0,0,0,0,0,0,0,0,Tidak Likuid,0
WIFI,1.2871096052343733,1.5931264019713773,-0.33469679033997324,0.37212468178032987,0.8028768711638162,1.3467297982125859,3.123232358800015,-0.6501323896662754,1.576341992489899,1.3551507788672175,-0.009044948946093341,1.0995909289406751,-0.2756390165776775,-0.9527271144699672,-0.8581928655767939,0.0,0,0,0,0,0,0,0,0,0,1,0,0,Likuid,2
SMDR,0.7805633125136191,0.7937330781686223,-0.6539255163334946,0.7318549729400236,0.08555646882042062,0.8942380106775649,0.674631197158064,-0.6466134750654697,-0.3210209654905369,-0.1129054634754074,-0.33186472742843687,1.0463566470712518,-0.3417570771486425,-0.9332161069580904,0.9666408087860682,0.0,0,0,0,0,0,0,0,0,0,0,0,1,Likuid,2
BBNI,1.538056917975664,1.7850916696138652,-1.042328580788707,2.4377763290306995,1.747891009189185,1.2305532147476355,1.0737653687690714,-0.6505604167395352,-0.5935199204003935,-0.6534508390979005,0.16433153340136678,1.8237733445583801,-0.3417570771486425,-1.1283261820768582,1.1879736738635869,0.0,0,0,0,0,1,0,0,0,0,0,0,0,Likuid,2
GOLD,-0.39812340819961695,-0.5571935567827537,0.46228725713341623,-0.5246335103289028,0.04242456620624781,-0.5936487156007307,-0.9320201373602336,0.7357932467798118,0.06851155883362932,0.37612079930171927,0.5779762014562035,-0.4497237731513405,-0.3417570771486425,-0.7576170393511995,0.03202093734528522,0.0,0,0,0,0,0,0,0,1,0,0,0,0,Tidak Likuid,0
KOBX,0.17512721836262335,0.2270053204842212,0.39598205084869065,-0.5175993865572167,-0.2960026484598634,0.2579736450417813,0.26834201327868346,-0.5452691852055808,0.9340734145033991,1.0722566438082823,-0.1158837458917899,-0.20189186294130082,-0.3417570771486425,-0.7185950243274459,-0.13746609904285687,0.0,0,0,0,0,0,0,1,0,0,0,0,0,Tidak Likuid,0
RELF,-0.09950253831954117,-0.4219915753986181,-0.6137628704276047,-1.1031369837218474,-1.5674578790932507,0.46259352731614733,0.20195562977067633,-0.19494128460741775,0.49449112949883567,1.2779222118098963,-0.20733371966467046,-0.5069628451959023,-0.3417570771486425,0.9593516216939558,-1.0683660903983032,0.0,0,0,0,0,0,0,0,0,1,0,0,0,Tidak Likuid,0
KBLV,-0.31555832983682763,-0.175841279677868,1.6638802255995893,-0.9410707255345456,-0.6670884962116114,-0.1727819832594387,-0.5390172655923855,2.170533268334856,0.5589905947333362,-0.28727713385262327,-1.2436607268022193,-1.605238983714084,-0.2535996630540225,0.061845276147624625,0.912005070032689,0.0,0,0,0,0,0,0,0,1,0,0,0,0,Menengah,1
PDES,-0.3523422843052131,-0.5841637664489518,0.08676378426786573,-0.8170275204568808,0.02427347571324905,-0.5553442126506508,-0.7665281607040715,1.0964893750328422,-0.5116847586983919,-0.7677159411882987,1.1797794825223837,-1.2946903756668333,-0.2756390165776775,0.5496204639445441,0.20150797373342716,0.0,0,1,0,0,0,0,0,0,0,0,0,0,Tidak Likuid,0
ERAA,1.0577508287065371,1.1187889053234987,-0.8466637687245216,0.9057298264671935,0.3206673887234029,1.142576294687276,1.445057659798817,-0.6494388669788942,-0.020472247808680125,0.11963669908431127,0.27274391480481147,1.8494363640525253,-0.3417570771486425,-0.9137050994462137,-0.09003762795481711,0.0,0,1,0,0,0,0,0,0,0,0,0,0,Likuid,2
